name,damage,reach,extra,type,price
Tommy Gun ,MAGd6+TEC,1-3,Piercing 2,Firearm,5
Stigma ,SKLd6+TEC,1-3,"Declare up to two attacks per turn. If you do, this deals half damage per attack.",Dagger,6
Type 90 Summon Gun,MAGd6,2-4,+3 Energy,Firearm,6
Lost Number,SKLd10+5,1-2,PSY Amp,Bow,8
Antikythera (Sword),MAGd8+12,1,Quick action: Change into Gun form. While in Sword form: +1 Tier to all Social Skills; Fortify <All> VIT,Sword,0
Antikythera (Gun),MAGd12+MAG,1-3,"Quick action: Change into Sword form. While in Gun form: Move AGI, Null Physical",Firearm,0
Mill Cutter ,STRd6,1,"At the end of each combat, restore up to 1 Energy.",Sword,4
Steel Feather,STRd4+TEC,1-2,Reflect Poison. Cast Poisma,Polearm,5
Spell Rod ,MAGd8,1-4,"At the start of each of your turns, add 1 Cognitive Counter to your party’s pool.",Firearm,4
Blessed Bow,SKLd10,1-3,+2 VIT,Bow,5
Girimekhala ,STRd4+VIT,1,High Counter,Shield,6
Champion Gloves ,STRd8+STR,1,"If you are Dueling your target, gains +1 HDC.",Glove,5.5
Jack’s Gloves ,STRd6-2,1-2,"Cast Magna, Cast Bufu",Glove,4
Crusher Fists,STRd10+4,1,Fire Amp,Glove,8
Soft Case,MAGd4+4,1-4,+3 Expression points,Firearm,2.5
Pipe Fox,MAGd6+6,1-5,+1 MAG,Firearm,4.5
Superstar Case ,MAGd8+5,1-6,Deals extra damage based on your Expression Tier,Firearm,6
Future War ,MAGd8+3,1-5,Reversal,Firearm,6
Laser Bow ,SKLd6+AGI,1-5,+1 HDC,Bow,4
Gunfist,SKLd8+4,1-4,Piercing 2,Bow,6
Jnara Mudra,STRd6+TEC,1-2,"+1 TEC, Critical Margin +1",Dagger,4
Hell Rose,STRd10+TEC,1-4,Deals Dark type damage,Dagger,6.5
Gambler,SKLd12+LCK,1-3,"This weapon’s Critical Margin is always 5. If this weapon does not deal a Critical Hit, halve the total damage of this weapon.",Dagger,0
Singed Lyre,STRd4,1-4,Cast Tarunda,Bow,Obtained from: Orpheus – Lv.1
Beast of the Labyrinth,STRd6,1,"Once per combat, the first basic attack you declare with this weapon is a Quick action",Glove,Obtained from: Asterius – Lv.9
Qin’s Flame,STRd4+6,1,"If your HP is below 50%, this weapon gains Transfer (+1 HDC) and treats Null Physical as Resist.",Sword,Obtained from: Inaruna – Matriarch’s Grudge – Lv. 9
Suspicious Scythe,STRd6+VIT,1-2,"Snipe 1, Transfer",Polearm,Obtained from: Macabre – Lv.10
Bell of Entombment,STRd6+6,1-3,Deals Light Type damage,Dagger,Obtained from: Daisoujou – Lv.11
Gae Bolg,STRd10+AGI,1-3,"Move AGI, Wind Affinity +1",Polearm,Obtained from: Cu Chulainn – Lv.17
Throne to Sloth,STRd10+7,1,Reflect Status,Shield,Obtained from: Belphegor – Lv.17
