name,effect,Requirements,Additional
Firearm Mastery,"If you deal damage with a basic attack with a Firearm using its maximum listed Reach, you gain +1 DDC against that target until the start of your next turn.",,Can only be chosen once.
Shield Mastery,"With a Shield or Plate equipped, you can use your whole turn to adopt a defensive posture and gain Resist All until the start of your next turn.",,Can only be chosen once.
Dagger Mastery,Attacks you roll with daggers have +1 upper Reach and deal +AGI damage of the same Type as the original damage. ,,Can only be chosen once.
Gladiator’s Physicality,"Whenever you declare a Physical spell that can apply a Status effect, you can choose to decrease the Status chance to 0% to gain a +2 STR bonus to damage calculation for this attack.",,Can only be chosen once. Can only be activated if your active Persona possesses the Physical Type.
Fire Monk’s Trance,"Whenever you deal damage with a Fire Type spell, ignite the space occupied by the target(s) during damage calculation for the next 2 rounds. Ignited spaces deal MAG Fire damage against any Shadow that ends its turn on that space, or walks through it. Each Shadow can only take damage from an ignited space once per round, but can take damage from multiple individual ignited spaces per round. An ignited space cannot be re-ignited until its ignition effect wears off.",,Can only be chosen once. Can only be activated if your active Persona possesses the Fire Type.
Ice Queen’s Touch,"Whenever you defeat an enemy using an Ice Type spell, choose 1 Buff effect currently active on you and extend its duration by 2 rounds.",,Can only be chosen once. Can only be activated if your active Persona possesses the Ice Type.
Wind Knight’s Charge,"When you hit a target with a Wind Type spell, you can choose to subtract the target’s dodge roll from your hit roll, note down this value and spend 1 Energy: As your Interrupt action you can choose to use the noted value as your hit roll to cast one Wind spell in your deck.",,Can only be chosen once. Can only be activated if your active Persona possesses the Wind Type.
Thunder Lord’s Grasp,You may spend 1 Energy whenever you cast a Thunder spell that has a Shocked chance. Roll to Shock the target before rolling to hit.,,Can only be chosen once. Can only be activated if your active Persona possesses the Thunder Type.
Nuclear Assassin’s Shade,"Increase your Buildup Counter limit by 2. You can choose to spend Buildup Counters equal to VIT to activate the same effect that would trigger if you were to exceed your Counter limit, but you don’t reset your Counters if that feature is activated this way.",,Can only be chosen once. Can only be activated if your active Persona possesses the Nuclear Type.
Psychokinetic Seer’s Chaos,"Whenever you Ingrain a Status effect, you can choose to roll 1d10 (re-roll if you roll a 10), compare your result to the Ingrained Status effects table (Page 105), and apply the rolled Ingrained Status instead. For this, consider the first Status on that list, Smitten, as a 1 result, Desperate as 2, etc.",,Can only be chosen once. Can only be activated if your active Persona possesses the PSY  Type.
Light Cleric’s Vow,"When you deal damage with a Light Type spell, you can spend 1 Energy to gain SKL Temporary Hit Points. This HP is added to your current HP pool, cannot be restored and is spent before natural HP. As long as you have Temporary HP granted by this Feat, you cannot activate this Feat again.",,Can only be chosen once. Can only be activated if your active Persona possesses the Light Type.
Dark Heretic’s Ritual,"Whenever you defeat a Shadow using a Dark Type spell, or damage dealt by this Feat defeats a Shadow, deal SKL Dark damage to 1d4 targets you can see, no dodge check.",,Can only be chosen once. Can only be activated if your active Persona possesses the Dark Type.
Almighty Vanguard,"When you trigger a Critical hit using an Almighty Type spell, ignore all targets’ dodge checks.",,Can only be chosen once.
Linguist,"You know a reasonable number of languages in varied capacities, decided by the player. In the Metaverse, you can understand any spoken language. The Narrator may rule that you don't understand a specific language by awarding you one Aspect Point per language.",Knowledge Tier I,Can only be chosen once.
Prodigy ,"Once per day, during an Activity, you can roll 1d6. If you roll a 6, you gain 2 points for the chosen Skill instead of 1.",Discipline Tier I,
Observer,"If you can see the face of a person who speaks a language you understand, you can fully understand what they’re saying without needing to hear them. Consider your Empathy Tier as +2 to determine the feelings of another person.",Empathy Tier I,Can only be chosen once.
Demolition Dash,"You can split the line of Line Category spells into two different lines, using the end point of the first line as the starting point of the second line, and the remaining range from the first line as the maximum range of the second Line. This cannot cause Line spells to hit the same target more than once. If you cast a damage-dealing Mono spell that has a range stated in meters, and does not have the Line Category, you can grant it the Line Category, and replace its Range by the following effect: “Deals damage to all targets in a line between you and a point equal to this spell’s original range, halved, rounded down.” This spell can then benefit from Demolition Dash.",Courage Tier I,Can only be chosen once.
Inspiring Leader,"At the start of combat, you and all allies who can hear you gain (your Charm tier)d4 Temporary HP. These points can exceed the characters’ maximum HP but cannot be recovered by any means after being spent and disappear at the end of combat if they’re not used.",Charm Tier I,Can only be chosen once.
Actor,"Charm Tier +1 for mimicking or disguising. You can mimic, masterfully, voices and animal sounds you’ve heard for at least a minute.",Expression Tier I,Can only be chosen once.
Athlete,You have automatic success in rolls for climbing or scrambling up surfaces up to 1 meter taller than you.,STR 3,Can only be chosen once.
Durable,"Once per day, you can choose one Type your active Persona is not Weak against. You gain +5 Damage Reduction against that Type for 3 rounds. This is not considered a Buff effect, and stacks with Buff effects",VIT 2,Can only be chosen once.
Defensive Duelist,"When you take damage from an attack, you can double your Damage Reduction for this attack, but reduce your Damage Reduction to 0 after damage calculation, until the end of your next turn.",VIT 3,Can only be chosen once.
Eagle Eyes,"All weapons you wield have the ""Snipe 1"" Keyword as long as you have them equipped. If a weapon already has a Snipe keyword, add +1 to that effect.",TEC 3,Can only be chosen once.
Gigantic Breath,All your spells with limited range gain +1 meters of reach. Skills that also hit adjacent enemies can now hit targets up to +1 meter away from the initial target. (This value increases by 1 meter per extra rank),TEC 4,Can only be chosen once every three levels.
Live to Serve ,You can pay 1 Aspect Point upon casting a Heal spell to automatically use the maximum possible dice roll. ,MAG 3,Can only be chosen once.
Elemental Adept,"Upon casting a spell of the Fire, Ice, Thunder, Wind, Nuke or PSY Type, you can switch the damage Type for any of the types listed above that your Persona knows. Example: If your Persona possesses both Fire and Wind Types, you can cast Maragion as a Wind spell.",MAG 4,Can only be chosen once. Can only be activated if your active Persona possesses at least two of the Types listed in its effect.
Volatile,Spells you cast that specify more than one target can now hit one more target per rank. ,MAG 4,Can only be chosen once every four levels after being chosen for the first time.
Miracle,"Once per combat, if your HP is above 1 and you would take damage that would reduce your HP to zero or less, roll LCKd8. If any of your results are 5 or higher, reduce the damage taken so you stay alive with 1 HP.",LCK 3,Can only be chosen once.
Dead Aim,"You gain 1 extra Luck Charge at the start of each combat, per rank. This Luck Charge can exceed your pool of maximum Luck Charges",LCK 4,Can only be chosen once every three levels.
Thine Own Self ,You can change the Conviction of your Starter Persona.,CLv. 4,Can only be chosen once every four levels
Persevere,"Each time you choose this Feat, pick one of your Personae and one of its Weaknesses. The selected Persona loses the selected Weakness.",CLv. 10,Can only be chosen once every 5 levels.
Steeled Resolve,"Each time you choose this Feat, pick one of your Personae and a Type it has no interactions with. Your persona gains Resist against the chosen Type.",CLv. 10,Can only be chosen up to 2 times.
Iron Will,"Each time you choose this Feat, pick one of your Personae and a Type it Resists. Your Persona gains Null against the chosen Type.",CLv. 10,Can only be chosen up to 2 times.
Unbreakable Spirit,"Each time you choose this feat, pick one of your Personae and a Type it Nulls or Reflects. Sacrifice one use of any of spell in its deck to increase the chosen interaction: Null becomes Reflect and Reflect becomes Drain.",CLv. 10,Can only be chosen once.
Intrinsic ,Add a new Aspect to your character. ,CLv. 10,"Can only be chosen twice: Starting at CLv 10, then at CLv. 20"
Diplomacy,"Once per combat, upon attempting negotiation, you may risk a d4 and add the result to your check. However, if the value of this check is negative, subtract double the result from your check.","Wildcard Class, Tier I in at least two Social Skills",
Manipulation,"Once per day, upon succeeding on a negotiation’s highest reward tier, you can choose to roll 1d4 and subtract it from your check. If this second result would give you an Item/RP reward, you get both the Persona and the Item or RP. This does not affect your initial roll’s result.","Wildcard Class, Tier III in at least one Social Skill",
Waning Pressure,"Once per day, you can choose one Shadow in combat. If its level is lower than your Persona’s, you gain +X HDC for all attacks against it for 3 rounds, where X is the difference between levels.",Emergent Class,Can only be chosen once.
Waxing Reach,"Once per day, as a quick action, for each Type your Persona has, you can decrease the Energy cost of spells of one Type your Persona knows by 1 for three rounds.",Emergent Class,Can only be chosen once.
Armor-Piercing Material,Your basic attacks treat Null Physical/Gun as Resist Physical/Gun and do not trigger Counter Category skills.,"Suppressor Class, CLv. 8 or higher",Can only be chosen once.
Ceramic Plating,"If you’re not wearing armor, you gain DR equal to half your Level, rounded down.",Suppressor Class,Can only be chosen once.
Cognitive Mimicry,"Once per day, as your Interrupt action, you can choose one ally you can see and swap your Type Interactions with theirs until the end of the round.",Shadow Class,Can only be chosen once.
Shaped Essence,"Once per day, you can assume the form of one small animal, like a cat, a bird, a fox, etc. until the end of the Scene. You can still communicate with other Persona Users normally. The transformation takes no more than a few seconds.",Shadow Class,Can only be chosen once.
Souls Aligned,Switching between your Personae is always treated as a Quick Action.,"Beacon Class, CLv. 8 or higher",Can only be chosen once.
Facing the End,"If you take damage from an attack that puts you in Death’s Door, you can deal the same amount of damage, of the same Type, to a target within 8 meters as your Interrupt action.",Beacon Class,Can only be chosen once.
Smirk,"When you defeat a Shadow by dealing damage it’s Weak to, you can choose to gain +1 DDC or +1 HDC until the end of your next turn.",CLv. 6 or higher,Can only be chosen once.
Bribe,"Once per day, whenever you succeed at the highest result of a negotiation, you may choose to forsake gaining a new Persona to instead gain an item or RP, but you gain double what you would have gotten for that negotiation result.",Wildcard or Devil Summoner Class.,Can only be chosen once.
Fate Embraced,"Apply the following changes to Amorphous Instability: 1) Change its Type to Almighty, 2) Increase its success chance to 45+2(SKL+TEC%)","Artificial Class, Tier III or higher in at least one Social Skill","Can only be chosen once, Cannot be chosen by Users with the Rebellion Arisen Feat"
Rebellion Arisen,"Up to twice per round, you can spend 1 Energy to trigger Berserk as a free action, instead of a Quick action.","Artificial Class, must have at least one Combat Skill with a base value of 7 or higher.","Can only be chosen once, Cannot be chosen by Users with the Fate Embraced Feat"
Hunger Sated,You no longer suffer withdrawal from Suppressants. Consuming a Suppressant instead restores 2 Energy to you and increases your maximum Energy by 2 until the end of the next Time block. You can only consume one unit of Suppressants per day.,"Marebito Class, CLv 6 or higher","Can only be chosen once, Cannot be chosen by Users with the Angel of the Abyss Feat"
Angel of the Abyss,"Shadow Feast no longer spends your Interrupt action for the round it's activated in. For every day you don’t consume a Suppressant item, permanently reduce your maximum Energy limit by 1 (Minimum 0).","Marebito Class, PLv 5 or higher","Can only be chosen once, Cannot be chosen by Users with the Hunger Sated Feat"
Devil Auction,"Once per day, outside of combat, you can spend RP in multiples of 3. You gain a “Digital Devil” whose PLv is equal to the RP you spent using this feat, divided by 3. This Demon cannot be summoned or used in Fusions, but can be sacrificed to grant any other demon in your list SP equal to the Digital Devil’s PLv + 1.","Devil Summoner Class, Tier II or higher in any Social Skill",Can only be chosen once.
Fading Ink,"If a User enters Death’s Door, you can use your Interrupt action to immediately trigger the effect of One Last Page, ignoring its triggering conditions: You gain access to a copy of that User’s Spell Deck until you choose to activate this Feat again.","Attendant Class, CLv 4 or higher",Can only be chosen once.
Calamity’s Grasp,"During your turn, you can use a Quick action to change Calamity's Edge's weapon class to any available weapon class (Sword, Whip, Firearm, etc.) or revert it back to a “Type-less” melee weapon. This change lasts until you activate this Feat again. (Change its type on CUSTOM so the sheet can factor in any bonuses!)",Nahobino Class. CLv 6 or higher,Can only be chosen once.
Radiant Legacy,"Increase a Social Skill of your choice by 3 points, and gain access to one spell from Aide’s Legacy that you don’t already have access to.","Navi Class, CLv 4 or higher",Can only be chosen up to 3 times.
Grimoire Mastery,"If you have a spare Grimoire Chapter or Bookmark in your inventory, you may spend 1 Aspect Point, as a Quick action, to add that piece’s effect to your equipped Grimoire until the end of your turn.",,Can only be chosen once.
Carnage Incarnate,"If you declare a basic attack with a weapon you have the Mastery Feat for, that weapon’s damage treats Null as Resist, and treats Drain and Reflect as Null.","Mirage Master, CLv. 6 or higher",Can only be chosen once.
Natural Talent,"Once per Scene, outside of combat, if you succeed at a Skill Check without Risking, gain one Aspect Point.",Mirage Master,Can only be chosen once.
Dream Catcher,"Once per day, after spending a Time block with a Confidant, you can spend one Aspect Point: Double the Ranks gained from this block.",,Can only be chosen once.
Drama’s Light,"Outside of combat, your Luck Charges grant +2 to checks instead of +1.",,Can only be chosen once.
Your Wind,"You can call upon the memories of someone you witnessed perform impressive feats in your hour of need. Once per day, outside of combat, if you Risk a dice during a Social Skill Check, add half of another Social Skill’s Tier (rounded down) to the result of this check.",,Can only be chosen once.
Under The Moon,"Outside of combat, during the Evening and Night blocks, you gain +1 to all Social Skill checks.",,Can only be chosen once.
Arcana Burst,"When performing Fusion, you can choose to bypass the SP gain for “inheriting” spells to add half of that SP to the normal SP pool of the resulting Persona.",,Can only be chosen once.
Water Priestess’s Chant,"If you have an Imbue effect already memorized and cast a spell that would give you a second Imbue effect, you can spend 1 Energy: Immediately apply one of these Imbue effects to yourself instead of discarding it, for no action cost. This Feat can be activated even if both Imbue effects are identical.",,
Earthen Samurai’s Bounty,"If damage you deal with an Earth Category spell to your Duel target exceeds the remaining HP of that target, you can use your Interrupt action to deal the difference between the damage you dealt and the target’s HP to another target within TEC meters, then apply the Duel condition to that target.",,
Demolition Rush,"When you cast a Line spell, you can spend 1 Energy: Place yourself at the end point of your spell, if that space is not occupied.",,
Wind Knight’s Morale,"When you trigger the starting effect of Wind Knight’s Charge, you can spend 1 Aspect Point: Add TECd2 to your noted hit roll.",,
Thunder Lord’s Decree,"Once per combat, if you defeat a Shocked target by using a Thunder spell in your deck, recover 1 Energy.",,
Nuclear Assassin’s Feint,"Damage dealt to you by using the Nuclear Assassin’s Shade Feat is considered Nuclear damage, instead of Almighty.",,
Light Cleric’s Faith,"Once per combat, if you have Temporary HP granted by any source, the first time you take damage that would exceed your Temporary HP, halve the exceeding damage.",,
Dance of Pikes,"When you trigger Polearm Mastery, you gain +1 Critical Margin and +1 HDC for that attack.",,
Cavalier Parry,"When you take damage of a Type you Resist from an attack while you have a Shield equipped, you can spend your Interrupt action to declare a basic attack against the unit that declared that attack. This attack ignores the range limitation of your equipped Shield.",,
Strict Savings,"Each time your RP resets, you can retain up to 1 RP from the previous week’s leftovers.",,
Princess’s Tea Time,"Every time you take a short rest, increase your Energy recovery to 1d6+1d4 and your HP recovery to VITd8. Once per day, you can spend one Aspect Point: Grant this benefit to one ally you can see until the end of the next day.",,
Vagrant’s Hex,"If a target you can see dies while under the effect of a Debuff, you can spend 1 Energy: As your Interrupt action, apply that Debuff to another target you can see, adding 1 round to the remaining duration of the Debuff on the original target as the total duration on the new target (to a maximum of 3 rounds).",,
General’s Insight,"If an Intel spell you cast has a clause that requires you to spend a number of counters, you can spend double the stated amount: You do not spend the spell use for this cast. You can activate this Feat a number of times equal to your highest Social Skill Tier per combat.",,
Bare-Fisted Boldness,"If you have no weapon currently equipped, basic attacks you declare deal extra Physical damage equal to your Damage Reduction",,
Cosmic Alchemist’s Ploy,"As a Quick action, you can detonate any number of Stardust Motes you created, and any number of spaces under the effect of a Nebula Cloud you cast. This detonation removes the effect from that space, and applies this Feat’s effect to targets in that space and adjacent to that space. For each unit that would be affected by this Feat, choose: 1) Target recovers HP equal to your MAG. OR 2) Target takes Nuclear damage equal to your MAG (no dodge check).",,
King’s Decree,"When a Tier II or higher Buff effect on you ends or is removed by a Removal effect, you can spend your Interrupt action and Energy equal to that Buff Effect’s Tier: Cast a lower Tier Mono Category Buff effect from your deck.",,
Lady’s Aromatic,"As a Quick action, you can select one Shadow suffering from at least one Status effect: Swap places in the initiative queue with that target. This takes effect at the start of the next round.",,
Young Prince’s Potential,"As a Quick action, you can spend one Active spell use from your deck: Recover one use of a Miscellaneous spell in your deck of one Tier higher than the spent use (max. Tier III).",,
Palace’s Ward,"If you Reflect or Drain damage due to the effects of a Defense spell, that spell deals 30% more damage for the purposes of Reflecting and Draining.",,
Maiden’s Voyage into Yomi,"If a target with at least two Ofuda placed on them is slain, you can spend your Interrupt action for this round to place half of the Ofuda on that target, rounded down, onto another target within 5 meters.",,
Lingering Memory,"When you perform Fusion using one of your Starters, you can sacrifice 2 SP the resulting Persona would get: Replace the resulting Persona’s Natural Skill with one of its components’ Natural Skills.",,
Battlements of the Palace,The effects applied by Vector Shield and Vector Split you cast now stack with other Buff effects.,,
"Their Garden, in Full Bloom","Once per round, when you deal Wind damage to at least one unit, and do not place Pollen as part of the same action, you can place Pollen in one space you can see as part of the damage-dealing action. If this damage is Critical you can, instead of the above, spend X Energy to place Pollen on the spaces of up to X+1 target(s) who took damage from that spell.",,
Weather Observatory’s Breakthrough,"When you cast a spell that applies Weather, you can spend one more Forecast counter than stated to decrease the Energy cost of that spell by 1 (minimum 1). If you did not spend Energy to cast that spell, recover 1 Energy instead.",,
Inviolable Beauty,"Basic attacks you declare as Interrupt actions, such as by the effect of Polearm Mastery or Counter Category spells, can roll for Critical hits without spending Luck charges.",,
No More What-ifs,"When performing Fusion, you can choose one Type interaction the resulting Persona would have other than Weak and decrease it by one ‘step’ (Min. Weak) to grant that Persona double the usual amount of SP for inheriting spells from its source Personae.",,
Entwined Image,"Every time you spend a Time block with a Confidant, you recover up to 1d4 Energy and the use of one non-Repressed spell in your deck.",,
Burial Rites,"When you kill a target using a Death Category Dark Type spell, you can recover Energy equal to that spell's Tier – 1. This can be activated a number of times per combat equal to your Expression Tier",,
Ritualist’s Feast,"When a target takes damage from a Curse you applied with a Tier III or lower spell, you can spend your Interrupt action to recover HP equal to P.Lv, multiplied by that spell’s Tier.",,
Silent Pond,"Target one ally you can see: You are moved to that target’s position, and the target is moved to your previous position. You can then declare a basic attack with -1 Minimum range and +1 Maximum range. You do not spend Movement Allowance for this action.",,
Winds’ Howl,"Choose any number of targets within range of your equipped weapon, and declare a basic attack. Divide the rolled damage amongst all units that took damage from this attack.",,
"Write, Erase, The Poppy Blooms","When you take damage from any Type except Almighty, you can use your Interrupt action to note down that Type. Then, during your turn, you can use a Quick action to trigger Winter Moon using that Type as if you’d spent a spell use to do so. To determine the Tier of this spell for Spring Thunder, use the “Level/Tier” table for negotiation rewards (see CHARACTER INFO).",,
Petals on the Bough,"When you roll to hit with a basic attack against a target, you can spend Movement Allowance until you’re adjacent to the target. If you do, you have +1 to roll for hit and damage for each space moved this way.",,
Speech and Breath,"When you deal damage to a target using a basic attack, you can spend Energy up to your highest Social Stat Tier. For each point of Energy spent this way, reveal one of the target’s Type interactions, your choice.",,
"Splash, Then Silence","When you roll to hit with a basic attack against an adjacent target, you can spend Movement Allowance until you’re at the maximum range of your equipped weapon. For each two spaces moved this way, you gain +1 DR until the start of your next turn.",,
High Noon Sigh,"Perform your basic attack as normal. If damage from this attack exceeds the target’s remaining HP, you can deal the remaining damage to another target within range of your equipped weapon, no dodge check.",,
Sorceress Beneath the Ruins,"While you have a Defile effect memorized and you would cast a spell that cannot benefit from your Defile effect, you can spend 1 Energy and forget the Defile effect to increase the damage of that spell by 10%. This is applied first in damage calculation.",,
Wealth of Lotus,Buff effects applied to you last one turn more than their stated duration. ,,
Bloodstained Eyes,"When you are targeted by an attack, decrease that unit’s TEC for that attack by 1 for each Status effect that unit is suffering from. This applies to the hit roll for every target and stacks with Debuff effects, but not with other instances of Bloodstained Eyes.",,
Crisis Control ,"You take 20% less damage you’re Weak against, but 10% more damage you’re Neutral against. ",,
I Bid Thee: Prevail,"When the effect of Gauntlet Runner is triggered, either by you or your partner, the triggering unit can decrease the duration of any Buff effect active on them by 1 round: The other unit gains that same Buff effect for the duration of the turn granted by Gauntlet Runner.",,
A Novel in Thy Hands,"Each time you pick this Feat, choose one Social Skill you have not previously picked for this Feat. You gain a +1 bonus to negotiation checks using this Skill. If you or your Bond partner triggered Gauntlet Runner this combat, that bonus becomes +2 until the end of combat.",,
Dance of Dying Leaves,"Spells you cast that affect units within Pollen spaces can now target units adjacent to Pollen spaces. If a spell already affects units in Pollen-adjacent spaces, it can now affect units within 2 meters of the Pollen space. Other targeting limitations still apply.",,
For Evergreen,"Whenever Pollen under your control would be removed by duration, or used as part of casting a Bloom Category spell, you gain one Evergreen Counter for each affected Pollen. During your turn, for no action cost, once per round, you can choose to remove a certain amount of Evergreen Counters (choose 1 option): 2X: You gain +X Movement Allowance this turn / 3X: Place X Pollen in spaces you can see / 5: Your next hit roll gains +1 HDC",,
To Bestow Death,"Once per combat, after you deal damage of your Signature Type against a target, you can choose one ally you can see as your Interrupt action for this round: That ally’s next attack of a Type that isn’t your Signature Type treats Affinity as Neutral and ignores Buff effects (including for hit calculation).",,
To Affirm the Fall,"When you choose this Feat, choose one Weapon Class (Swords, Firearms, etc.). You have +1 HDC for all attacks declared with that Weapon Class. If you have the Mastery Feat for that weapon, you also gain +1 Critical Margin for attacks declared with that Weapon Class.",,
To Push Back Despair,"Once you have at least 12 spells of your Signature Type, you can choose to forego the first or second listed bonus from Euthymia of Seven Suns to acquire the other bonus a second time. (Select on CHARACTER INFO cell C75)",,
