Persona,Lv.,Arcana,Types,Drain,Reflect,Null,Resist,Evade 1,Evade 2,Evade 3,Weak,Type,Stat Bonuses,Natural Skill,Active Abilities,Passive Abilities,Disposition,Reward,STR,MAG,TEC,AGI,VIT,LCK,Pg.,Compendium?
Moh Shuvuu,1,Aeon,"Wind, PSY, Heal",,,,PSY,,,,Thunder,Shadow,,"Evil Bird - +1 TEC to hit against targets, as long as those targets are not within 4 meters of any other units.","Garu: HDC +1. One target within 9 meters. On hit: 3d6 (10) Wind damage.
Psi: 1 target within 10 meters. On hit: 3d4+5 (12) PSY damage. +1 HDC against targets suffering from Status effects.","Basic Regeneration (P): At the start of each of its rounds, Moh Shuvuu recovers 1d6 HP.","Friendly, Snobbish","Psi (T1 PSY)",1,3,4,5,3,4,C-169,FALSE
Koropokkuru,1,Hermit,"Ice, Debuff",,,,"Gun, Ice",,,,Intel,Shadow,,"Recluse – Once per day, during combat, if you have not taken damage since the end of your previous turn, you gain +2 Social Skill Tier and +2 to all Combat Skill checks that are not related to attacking, dodging or negotiating.","Bufu: 1 target within 8 meters. On hit: 3d6 (9) Ice damage.
Sukunda: 1 target within 10 meters. -1 TEC, -1 AGI for 3 turns.",,"Aggressive, Snobbish",Bufu (T1 Ice),1,3,2,6,5,2,C-167,FALSE
Mandrake,1,Death,"Physical, Status",,,,Ice,,,,Fire,Shadow,,Scream – The Mandrake emits a horrifying wail that can be heard for up to a kilometer away.,"Force Wave: Up to 3 targets within 4 meters are struck by a wave of sonic energy. On hit: 3d4(7) Physical damage and applies Knockdown to targets that are Weak to the Physical Type.
Pulinpa: A target within 8 meters has a 35% chance to suffer Panicked.",,"Childish, Anthropophagous",Pulinpa (T1 Status),3,1,4,3,4,6,C-165,FALSE
Orpheus,1,World,"Fire, Heal, Debuff",,,,Light,,,,"Thunder, Dark",Icon,,"Memories of Midnight (Fire, Debuff) – If you take Dark Type damage, or whenever you enter Death's Door, you can spend your Interrupt action for that round to deal X*MAG Fire damage against one target within 5 meters, where X is equal to the number of Combat Skills under the effects of Debuff on that target, no dodge check. ","Chords of Cadenza: Up to three targets in combat. If this targets a Shadow, restore their health by 20% (30) of Orpheus's maximum HP. If this attack targets a User, roll to hit. On hit: 5d4 (12) Fire damage and apply Tarunda to the target (-1 STR, -1 MAG for 3 rounds). ","Endure (P): As long as Orpheus's HP is above 1, any attack that would slay Orpheus reduces him to 1 HP instead. ",Friendly,Agi (T1 Fire),1,5,5,1,5,2,SSV-14,FALSE
Nickelwise,1,Devil,"Physical, Wind",,,,Fire,,,,"Physical, Gun, Ice",Rumor,,We All Float – You can fall from great heights and land softly and without lasting damage. ,"Bite: One target within 6 meters. On hit: Nickelwise moves to a position adjacent to the target and deals 4d4-3 (7) Physical damage. Until the end of Nickelwise's next turn, the target cannot move from its current position and suffers -1 DDC. 
Drag Away: One adjacent target. Nickelwise performs its full movement action while casting this spell, while dragging the target along with it. The target takes 1 Wind damage for each meter moved this way. ",,Insane,Cleave (T1 Physical),4,1,5,2,4,4,SSV-34,FALSE
Obabyon,1,Fool,"Physical, Intel",,,,"Physical, Nuclear",,,,Thunder,Shadow,,"Treasure Hunt – Grants +1 Discipline Tier for checks related to finding lost, stolen or missing items.","Silent Image: Creates the projection of an inanimate object. The object can only be distinguished from reality if the observer passes a TECd6 check against the caster’s TECd6 check. The object is not tangible and dissipates when a creature touches it.
Double Claws: Up to 2 targets within 3 meters. On hit: 4d6 (14) Physical damage. If Obariyon chooses 2 targets, deals half the rolled damage to each.",Resist Fear (P): Effects that cause the Fear Status effect have half the default chance to trigger on this Shadow.,Childish,Agile Analysis (T1 Intel),4,1,3,4,4,4,C-168,FALSE
Pyro Jack,1,Magician,"Debuff, Fire",,,Fire,,,,,Ice,Shadow,,"Guiding Light – Grants 1d4 to checks related to pathfinding and navigating, in the Universe and Metaverse.","Agi: A small fireball strikes a target within 10 meters. On hit: Deals 3d6 (10) Fire damage.
Sukunda: A target within 10 meters suffers -1 TEC, -1 AGI for 3 turns.","Resist Sleep (P): Pyro Jack is immune to effects that would render it unconscious.
Sharp Student (P): All attacks against this target receive -1 Critical Margin","Friendly, Anthropophagous",Agi (T1 Fire),1,3,4,3,4,2,C-164,FALSE
Queen of Hearts,1,--,"Physical, Fire, Ice, Wind",,,,Status,,,,,Tyrant,,,"Elemental Decree: Up to three targets within 6 meters. On hit: 3d4 (7) damage of Fire, Ice, or Wind damage (Narrator's choice, chosen once for all targets). 
Royal Bash: One target within 8 meters. On hit: 3d4+3 (10) Physical damage. ",,,Each User gains 300 Experience Points (Added to the default reward for this battle),3,3,4,1,4,2,SSV-37,FALSE
Merciless Companion Pixie ,1,Lovers,"Thunder, Heal",,Thunder,,,,,,,Merciless,,"Press Turn – Every time Pixie scores a Critical Hit, she gains a Press Counter. For every Press Counter Pixie has, she gains one extra turn per round. ","Amala Zio: Up to three targets within 7 meters. On hit: 5d4 (10) Thunder damage, 80% Shocked chance. 
Life Seize: One User Merciless Companion Pixie can see loses 25% of their maximum HP as Almighty damage, and Merciless Companion Pixie's HP is restored by the damage dealt. 
Megidolaon: One target and all units within 3 meters of that target, except Merciless Companion Pixie. Critical Margin +1. On hit: 5d4+MAG (15) Almighty damage. ",,,,1,5,4,5,4,4,SSVII-42,FALSE
"Vairocana, The First Step",1,Sun,"Fire, Almighty, Heal",,,"Fire, Light",,,,,,Shadow,,"The Sun, Absolute – Every time you slay a target, you gain one Manifestation Counter. When you cast a Heal Type spell that requires a dice roll, you can spend X Manifestation Counters, for no action cost: Change the roll of up to X dices to their maximum value. ","Megido Drop: One target Vairocana can see. On hit: 4d4 (10) Almighty damage. 
Maragi: Any number of targets within 5 meters. On hit: MAG (4) Fire damage and Vairocana gains 1 Manifestation Counter for each target that took damage from this spell. 
Manifested Dia: Vairocana spends all Manifestation Counters and recovers 20% (14) of its HP for each Manifestation Counter spent this way. ",,Noble,Dia (T1 Heal),1,4,5,1,5,2,SSVIII-16,FALSE
"Younger Sibling, Mermaid- α",1,Empress,"Physical, Debuff",,,Physical,Ice,,,,Wind,Alpha,,Marching Choir – Your Line Category spells gain +1m of range.,"Ravaging Song: Up to 1d4 targets within 7 meters. On hit: STRd6/2 (7) Physical damage and target suffers Rakunda (Fortify Physical & Elements -4 for 3 rounds). 
Wake-Up Punch: 1 target within 6 meters. On hit: STRd4(10) Physical damage. This attack is a guaranteed Critical Hit if the target is suffering Status effects. ",,Snobbish,Skull Cracker (T1 Phys.),4,1,2,6,4,2,SSIV-10,FALSE
Orpheus Picaro,1,World,"Fire, Heal, Debuff",Dark,,,Light,,,,Thunder,Shadow,,"Circle of Sadness – [Passive]: You cannot be targeted by effects that Revive other than Circle of Sadness. [No action cost, spend 1 Aspect Point]: During your turn, when at Death's Door, trigger to Revive at 10 HP. ","Chords of Cadenza: Up to three targets in combat. If this targets a Shadow, restore their health by 20% (30) of Orpheus Picaro's maximum HP. If this attack targets a User, roll to hit. On hit: 5d4 (12) Fire damage and apply Tarunda to the target (-1 STR, -1 MAG for 3 rounds). ","Rebellious Melody (P): As long as Orpheus Picaro's HP is above 1, any attack that would slay Orpheus Picaro reduces him to 1 HP instead. Once per round, when Orpheus Picaro’s HP is reduced to 1, the current turn ends, and Orpheus Picaro gains a second turn this round.  ",Friendly,Agi (T1 Fire),1,5,5,1,5,2,SSVIII-19,FALSE
Anzu,2,Heirophant,"Wind, Light",,,Wind,,,,,Gun,Shadow,,"Deity of Storms – As a free action, you may spend X Energy to gain Move X for the duration of the current round.","Shining Arrows: Up to 1d6 targets lose 15% of their current HP.
Garu: 1 target within 8 meters. HDC +1. On hit: 4d6 (12) Wind damage. ",Null Forgetfulness (P): Anzu cannot be restricted from using any of its actions.,"Aggressive, Anthropophagous",Shining Arrows (T1 Light),1,4,5,3,4,4,C-174,FALSE
Arcana Magician,2,Magician,Physical,,,,,,,,,Tyrant,,"Arcana of Complacency – At the end of each round where Arcana Magician does not move nor is moved from its position, it recovers 10% of its maximum HP ","Sweeping Slash: Up to three targets within 4 meters. On hit: 4d4 (10) Physical damage.
Thrash: One target within 4 meters. On hit: 4d6 (14) Physical damage and 20% Knockdown chance.",Multi-Limbed (P): Arcana Magician can declare two attacks per round.,,,4,1,5,1,5,4,SSVI-41,FALSE
Bicorn,2,Hermit,"Physical, Wind, Debuff",,,,Light,,,,"Ice, Nuclear",Shadow,,"Two-Timing – Once per day, when starting negotiation with a Shadow, you gain +1 for the relevant Social Skill for each Persona on your list besides Bicorn.","Double Claw: A series of blows that deals 3d6+5 (15) Physical damage in up to 2 targets within 3 meters on hit. If two targets are chosen, deals half the rolled damage.
Garu: A violent breeze crashes into one target within 10 meters. On hit: 4d6 (15) Wind damage. +1HDC",Apt Pupil (P): All attacks declared by Bicorn have +1 Critical Margin.,"Chaotic, Anthropophagous",Double Claw (T1 Physical),3,4,4,4,4,2,C-170,FALSE
Apsaras,2,Priestess,"Ice, Heal",,,PSY,Ice,,,,Physical,Shadow,,Dancer – You gain the ability to perform at a level that can impress the gods themselves. Grants Expression Tier +2 for all checks related to dancing.,"Celestial Dancer: Up to 1d6 targets within 7 meters heal 5d4+8 (18) HP or take 5d4 (8) Ice damage, on hit. Apsaras decides which target will suffer each effect.",,Snobbish,Death’s Edge (T1 Heal),2,5,4,3,3,2,C-171,FALSE
Bit Ball,2,--,,,,,Ice,,,,Gun,Human,,,"Call Reinforcements: Bit Ball summons another Bit Ball into combat, directly after the caster in the initiative queue. This spell can only be used by one Bit Ball per round. Bit Balls summoned by this effect do not grant Experience Points.
Jolt: One target within 4 meters. On hit: 3d4 (7) Thunder damage. If this attack misses, Bit Ball jolts itself for 5 Thunder damage.",Simple Creature (P): Does not respond to negotiation. Cannot be affected by Mind Status effects.,,,3,3,4,5,2,2,SSVI-34,FALSE
Corpses,2,--,,,,,,,,,"Gun, Fire, Light",Horde,,,"Grotesque Merge: Can only be cast through the effect of Knee-Deep in the Dead. All Users in combat. HDC +1. On hit: 3STR (12) Physical damage and Corpses chooses one target that took damage from this spell. That target is moved to a position adjacent to Corpses, and suffers the following Condition: Cannot move or be moved to a position that's not adjacent to Corpses. If Corpses takes damage it's Weak against, or suffers a Critical hit, remove this Condition. 
Shamble: Any number of targets between Corpses and a space within 6 meters. On hit: 4d10 PSY damage and Corpses is moved to the selected space. 
Death Touch (Physical): One target within 3 meters. Use the target's VIT instead of AGI to roll dodge for this attack. On hit: 4d6 (14) Physical damage. If this damage reduces the target's HP to less than 30%, the target enters Death's Door. This is a Death Category effect.","Knee-Deep in the Dead (P): Whenever Corpses reaches 75%, 50% and 25% of its maximum HP, it casts Grotesque Merge as its Interrupt action. 
Legion (P): As long as there's a User adjacent to Corpses, it can declare an extra attack this turn (to a maximum of four attacks, counting the extra attacks from the Shadow Horde features). Additionally, any damage Corpses takes that's not damage it's Weak against or from a Critical hit can be reduced by 50%, for no action cost, and Corpses can choose one adjacent target to deal that same amount of damage, of the same Type.  ",,,4,1,4,2,7,2,SSVIII-14,FALSE
Dead Lobster,2,Tower,Almighty,,,,,,,,,Rumor,,"Sleeping with the Fishes – While in Death's Door, you can spend 1 Aspect Point to declare a movement action during your turn. ",Deboning: One adjacent target. On hit: Target enters Death's Door and Dead Lobster takes 1d4 (2) points of Almighty damage (this damage ignores Briny Soul). This is considered an Almighty Death Category spell. ,"Briny Soul (P): All damage Dead Lobster takes, from any source, is reduced to 1. 
Un-sea-n Apparition (P): When combat starts, Dead Lobster is placed exactly 22 meters away from one User. Users are strongly encouraged to keep their distance from Dead Lobster. 
Pacific Motives (P): Dead Lobster cannot declare basic attacks. If all Users in combat are in Death’s Door, it leaves combat and does not reward any Experience.  ",Noble,Ma Astra (T1 Almighty) ,1,1,7,8,1,2,SSII-14,FALSE
Kusi Mitama,2,Strength,"Wind, Heal",,Nuclear,,Wind,,,,Fire,Shadow,,Mitama of the Harvest – You gain +1 Tier to the appropriate Social Skill to checks related to medicine.,"Ha Garu: Up to 3 targets within 7 meters. HDC+1. On hit: 3d4 (9) Wind damage.
Ha Dia: Kusi Mitama and all allies within 4 meters heal 3d10+10 (26) HP.",,"Aggressive, Anthropophagous",Magaru (T1 Wind),1,3,4,5,5,2,C-173,FALSE
Forneus,2,Emperor,"Ice, Status",Ice,,Status,,,,,Thunder,Shadow,,"Hellish Tutor – Once per day, you can gain advanced knowledge of a language of your choice until the end of the current Scene.","Marquis of Ice: Any number of targets. On hit: 4d4-3 (7) Ice damage and 20% Slowed chance.
Stagnant Air: All combatants. Consider our LCK as 2 points lower to determine avoiding Status effects for 3 rounds. ",Illusive (P): All Intel spells cast while Forneus is in combat have a 25% chance to not trigger. Spells affected by Illusive do not spend counters or other resources.,"Devilish, Noble",Mabufu (T1 Ice),1,4,3,4,5,4,C-174,FALSE
Hitokoto-Nushi,2,Aeon,"Nuclear, Light",,,,Nuclear,,,,Dark,Shadow,,"Scattered by the Winds – Once per day, increase your DDC by 1, but you deal half damage with all your attacks, for 3 rounds. This is a Quick action.","Meditate (Nuclear): 1 target within 8 meters. On hit: 5d4 (12) Nuclear damage and Hitokoto-Nushi gains 1 Nuclear Counter.
Oracle of the Winds (Light): Spend 1 Nuclear Counter. One target Hitokoto-Nushi can see loses 20% of their current HP as Light damage.","Evil Omen (P): At the start of each of its turns, Hitokoto-Nushi deals 1d6 Nuclear damage to all adjacent units (no dodge) for each Nuclear Counter on it.","Noble, Devilish","Mafrei (T1 Nuclear)",1,5,5,4,3,2,C-169,FALSE
Hooligan,2,--,,,,,Gun,,,,Wind,Human,,,"Bottle Throw: One target within 3 meters. On hit: 4d4 (10) Physical damage and 5TEC% (20%) Poisoned chance. 
Drunk Shot: One target within 5 meters. On hit: 4d4 (10) Physical damage. If this attack misses, the bullet ricochets and deals 2d4 (5) damage to a different User within 5 meters of Hooligan, no dodge check. ","Mob Mentality (P): When a Hooligan spawns into combat, summon another 1d4 Hooligans into combat. These summoned Hooligans reward 50 Experience Points each. This is only done for the first Hooligan spawned into combat. ",,,4,2,4,3,4,2,SSVI-34,FALSE
Merciless Delicacy Dead Lobster,2,Tower,Almighty,,,,,,,,,Merciless,,,"Pacific Motives (P): If all Users in combat are in Death’s Door, Dead Lobster leaves combat and does not reward any Exp
7ft. Under the Sea (P): Dead Lobster's movement allowance is always treated as 14, and it cannot be lowered in any way.
Briny Soul (P): All damage Dead Lobster takes, from any source, is reduced to 1. Damage dealt to Dead Lobster cannot be increased by any means.","Thermidor: This replaces Dead Lobster’s basic attack. One adjacent target. HDC +1. On hit: The target enters Death's Door, Dead Lobster recovers 15 HP and can perform its full movement action again this turn. This is considered an Almighty Type Death Category effect. ",,,1,1,7,8,1,2,SSVII-48,FALSE
Mermaid,2,Empress,"Ice, Status, Buff",,,Ice,Fire,,,,Thunder,Shadow,,"Sinking Choir – Spells you cast with the ""Dance"" clause can target 1 extra target (added after rolling for targets). ","Stormcaller Song: Up to 1d6 targets within 7 meters. On hit: 4d4-3 (8) Ice damage. 
Dormina: 1 target within 5 meters: 15+5TEC% Stunned chance. 
Rakukaja: One target Mermaid can see: Fortify Physical and Elements +4 for 3 rounds. ",,Flirty,Sukukaja (T1 Buff),1,4,4,6,3,2,SSIV-11,FALSE
Rob Roy,2,Magician,"Fire, Heal",,,,Fire,,,,Light,Icon,,"Guardian of the Land (Fire, Heal) – When you cast a Heal Type spell, you can spend 1 use of any Physical or Fire (including Earth) Type spell to use your STR instead of MAG for that Heal spell, for no action cost. ","Flaming Tongue: Up to three targets within 5 meters. On hit: 4d4 (10) Fire damage and heal one Shadow Rob Roy can see for 10% of its maximum HP for each target that took damage from this attack. 
Hope Beam: Any number of targets between Rob Roy and a point within 2TEC (8) meters. +1 HDC. On hit: 4d4 (10) Fire damage. All Shadows in this spell's area of effect recover 20% of their maximum HP, no check. ",Angel's Mercy (P): Users who take damage from Rob Roy have all their Buff effects removed. Shadows who are healed by Rob Roy have all their Debuff effects removed. ,Friendly,"Ha Magna (T1 Earth, Sea of Souls III) ",4,1,4,3,5,2,SSV-15,FALSE
Nue,2,Moon,"Physical, Dark, Status",,,Dark,,,,,"Fire, PSY",Shadow,,"Storm Cloud – You can move to an unoccupied, adjacent position to any target you can see suffering Status effects, ignoring your movement limitations, as your movement action.","Skull Cracker: 1 target within 2 meters. On hit: 4d4 (10) Physical damage. Stunned chance: 20%, +5% for each point on the hit check rolled above the dodge check.
Mamudo: Any number of targets. Instantly kills targets below 10% HP.
Confunda: 1 target within 5 meters: 45% Stun chance",,Chaotic,Ha Mudo (T1 Dark),4,1,6,4,3,2,C-172,FALSE
Omoikane,2,Heirophant,"Thunder, Intel, Debuff",,,,Thunder,,,,Ice,Shadow,,"A Gathering of Minds – Grants +1 Knowledge to the wielder for each User they can see, once per day, until the end of the Scene.","Sparking Touch: 1 adjacent target. On hit: 5d4 (12) Thunder damage. Deals double damage against Suppressor-class Users.
Simulation: Omoikane discovers 1 weakness from 1 target. If the target has no weaknesses, Omoikane can cast this spell again as a free action.","Auto Rakunda (P): At the start of combat, apply the effects of Rakunda (Fortify Physical -8 and Fortify Elements -8 for 3 rounds) to the User(s) with the highest VIT. In case of a tie, the effect is applied to all tied Users.","Devilish, Noble",Sparking Touch (T1 Thunder),1,5,5,5,2,2,C-172,FALSE
Orthrus,2,Hanged Man,"Physical, Fire",,,,Status,,,,Ice,Shadow,,"Two-Headed Beast – You can spend 1 Aspect Point while casting a Fire spell to make it so it targets one extra target, adjacent to one of the targets of the original skill.","Double Claws: Up to 2 targets within 3 meters. On hit: 4d6+2 (14) Physical damage. If two targets are chosen, deals half damage.
Fire Dance: Up to 1d6 targets within 6 meters. On hit: 4d4 (10) Fire damage.","Beastly Vengeance (P): Orthrus gains +1 STR, +1 TEC for each Shadow defeated during this combat.","Insane, Friendly",Ha Agi (T1 Fire),4,1,4,4,2,4,C-173,FALSE
Sadaco,2,Empress,"Ice, Light",,,,"Thunder, Dark",,,,"Fire, Wind",Shadow,,"Spiral – Once per day, activate the following effect: At the start of each of your turns, gain one Grudge Counter. As a Quick action, you can spend all your Grudge Counters to gain Critical Margin +1 for each Counter spent this way for the next attack you declare this round.  ","Flux: One target within 7 meters. HDC +1. On hit: Deals Light damage equal to the difference between Sadaco's hit roll and the target's dodge roll, multiplied by 2. 
Rake: Up to three targets within 7 meters. On hit: 3d4-3 (4) Ice damage. Damage dealt by this spell cannot be healed until the end of combat. ","Into the Well (P): As its Interrupt action, Sadaco can target one Shadow within TEC (6) meters and move that Shadow to a position adjacent to Sadaco. If this moves the Shadow outside of the range of an attack it's a target of, they automatically dodge that attack. ",Aggressive,Kouga (T1 Light),1,3,6,4,3,2,SSV-34,FALSE
Sandman,2,Strength,"Status, Intel",,,,Wind,,,,Thunder,Shadow,,"Sweet Dreams – You can touch a sleeping target’s head. Upon doing so, the target will have a comfortable, long night of sleep with pleasant dreams.","Sleeping Powder: Any number of targets that Sandman can see have 20+X% chance to fall unconscious, where X is the number of Sleep Counters on the target.
Tentarafoo: Any number of targets within 6 meters have 30% chance to suffer Panicked.","Sleepy Aura (P): At the start of each round, all targets Sandman can see receive 1 Sleep Counter. Unconscious targets cannot act until they’ve taken damage as long as Sandman is engaged in combat.",Friendly,Mark of Slaughter (T1 Intel),1,1,3,6,7,2,C-171,FALSE
Spirit Horde,2,--,,,,,"Fire, Dark",,,,Gun,Horde,,,"Maeiga: Any number of targets. On hit: 2d4 (5) Dark damage. At the start of each hit target's next turn, they take 1d4 (2) Dark damage. 
Rush of the Phantasms: One target within 6 meters. On hit: 2d4+TEC (11) Fire damage. ",,,,1,2,6,4,5,2,SSV-47,FALSE
Ukobachi,2,Devil,"Fire, Status",,,,Fire,,,,Light,Shadow,,"Stoking the Flame – You can spontaneously set a small patch of flammable material ablaze. This fire is not strong enough to deal damage, but can spread as a Realized effect.","Ha Agi: Up to 3 targets Ukobach can see take 4d4 (8) Fire damage on hit.
Evil Touch: 1 target within 8 meters has 45% chance of being afflicted by the Fearful Status.",,"Snobbish, Devilish",Evil Touch (T1 Status),3,4,4,3,3,4,C-170,FALSE
Saki Mitama,3,Priestess,"Ice, Heal, Debuff",,,,Ice,,,,Wind,Shadow,+4 Empathy,"Prosperity – Once per week, add 0.5 RP to your reserves.","Agi: 1 target within 8 meters. On hit: 4d8 (16) Fire damage.
Mazio: Any number of targets within 6 meters. On hit: 4d4 (8) Thunder damage and 16% Shocked chance",,"Noble, Snobbish",Recarm (T1 Heal),1,4,4,4,5,2,C-175,FALSE
Army Zombie,3,Death,,,,,Light,,,,,Minion,,,The Purge: Up to 3 targets within 5 meters. On hit: 6d4 (14) Physical damage. This bypasses the hit check if the target is under the secondary effect of David's Right Behind You. ,"The Hills Have Eyes (P): As long as Army Zombie is in combat, all Shadows in combat gain a +1d10 bonus to all dodge checks. ",,,6,1,5,1,3,2,TToH-5,FALSE
Aspect of Nadja,3,Fool,"Light, Dark, Intel",,,,,,,,,,+4 Expression,"Savior of Song – You can spend 1 Aspect Point to trigger the effect of any of the Scene Aspects from Scene V. If any User invoked an Aspect, it cannot be invoked by any User until the next day.  ",,,,,,,,,,,SSVII-29,FALSE
Aversa,3,Lovers,"Ice, Wind, Buff",,,,"Fire, Dark",,,,Wind,Tyrant,+4 Charm,"Covered Ears – Once per combat, you can choose one target you can see: That target cannot be selected as a target for Buff or Heal spells, or other effects that restore HP, until the start of your next turn. At the start of your turn, you can extend this effect as a Quick action by spending 1 Energy.  ","Enthralled Zan: One target within 9 meters. On hit: 6d4 (15) Wind damage. If one Enslaved Mirage is present when this spell is cast, this attack has +1 HDC. If both Enslaved Mirages are present, this attack deals +2d6 extra Wind damage. 
Umbral Bufu: One target within 8 meters. On hit: 6d6 (21) damage. This spell can target extra targets, equal to the number of Enslaved Mirages present in combat. 
Dark Envy (Buff): Aversa targets one User who's under the effect of a Buff Category spell, adds that Buff effect to herself, then removes it from the target. ",,,"Emblem Form (Armor, 2 RP)",1,6,5,6,3,2,SSIII-25,FALSE
