name,effect,price,
Wild Coating,"Instead of your basic attack, you may choose to declare a Wild Attack. This is considered a basic attack, and deals the same damage as your currently equipped weapon, but its features are determined by rolling 1d6 three times, once for each of the WILD COATING columns on the VARIANT tab.",2,N/A
Kirijo Suppressants,"Pills. For 4 Time blocks: Decreases your maximum Energy by 2, but nullifies the effects of Gnawing Hunger. One purchase grants seven units, a week’s worth. ",1,1d6+1
Blankenheim Suppressants,"Inhalants. For 4 Time blocks: Nullifies the effects of Gnawing Hunger. One purchase grants seven units, a week’s worth",2,1d4
Berserk Release,"Injections. (Quick Action) This item can only be used by Marebito. Grants the effects of Power Charge or Mind Charge, your choice. At the start of your next turn, reduce your Shadow Feast limit by 1 until the start of the next Time block. This penalty stacks, but does not apply if you are under the effect of Cognitive Glut.",2,1d4-1
Mobster Energy Drink,"Restores 5 Energy. If used during combat: Once combat ends, you lose 7 Energy. If used outside combat: Once the current Scene ends, you lose 7 Energy.",1,1d4-1
Idaten Ofuda,"+2 TEC, +2 AGI, all allies. Lasts for 3 rounds. ",1,1d4-2
Kongou Ofuda,"Fortify Physical and Elements +8, all allies. Lasts for 3 rounds. ",1,1d4-2
Physical Ointment,1 target you can see gains Reflect Physical for the next Physical attack declared against the target.,3,1d4-2
Magic Ointment ,1 target you can see gains Reflect Elements for the next Element spell declared against the target. ,3,1d4-2
Sanctified Feather,"At the end of each of the target’s turns, they recover 10 HP. This is not a Buff effect, and lasts for 3 rounds.",N/A,"Obtained from: Phoenix – Lv.5, Suzaku – Lv.3"
Lobster Tail,You gain Resist against the next instance of damage you take in this combat. This can give you Resist Almighty.,N/A,Obtained from: Dead Lobster – Lv.2
Forbidden Apple,"Until the end of the current Scene: +2 Knowledge Tier, but you cannot invoke or compel Aspects. Aspects can still be compelled by the Narrator. Cannot be used during combat.",N/A,"Obtained from: Adam, Eve – Lv.7"
Condensed Capsule I,"A Capsule created by condensing a Persona’s essence into a tangible, digestible form. It carries the condensed Persona’s Natural Skill.",2,1
Condensed Capsule II,"A Capsule created by condensing a Persona’s essence into a tangible, digestible form. It carries the condensed Persona’s Natural Skill.",4,1
Condensed Capsule III,"A Capsule created by condensing a Persona’s essence into a tangible, digestible form. It carries the condensed Persona’s Natural Skill.",6,1
Condensed Capsule IV,"A Capsule created by condensing a Persona’s essence into a tangible, digestible form. It carries the condensed Persona’s Natural Skill.",8,1
Condensed Capsule V,"A Capsule created by condensing a Persona’s essence into a tangible, digestible form. It carries the condensed Persona’s Natural Skill.",10,1
Musashi’s Edge,"As long as you have a sword equipped, when you dodge a spell or attack, you can declare a basic attack as your Interrupt action. ",3,1
Aubigny’s Grace,Critical hits dealt by Polearms weapons you have equipped deal 50% extra damage (applied last in damage calculation),4,1
Sting Like Ali,"As a free action, you can spend 1 Aspect Point to grant the bonuses on a Glove weapon equipped to you to an ally within this weapon's range until the end of their turn. This also grants them the DR benefits of Glove Mastery if you have it.",3,1
Belmont’s Legacy,"Targets that take damage from a Whip weapon you have equipped, or are targeted by a spell cast through a Whip’s Cast effect, immediately suffer Status Affinity -1 (Min. Weak) until the end of your turn. This applies before the Panicked roll for Whip Mastery.",3,1
"Pink Argus, Take Flight",Basic attacks you declare while you have a Bow equipped treat the target's Damage Type Affinity as -1 (Min. Weak) during damage calculation. You can subtract or add 1 to your Bow Mastery roll for no cost.,4,1
Terminator Determination,"When you activate the effect of Firearm Mastery, apply the following Condition to the same target: Decrease this unit’s HDC and DDC by 1 for all attacks declared by and against the User who applied this Condition. This Condition lasts It lasts until the end of your next turn.",2.5,1
Infallible Phalanx,"Declaring a basic attack with a Shield weapon outside of your turn restores 10% of your maximum HP to yourself, even if the attack misses or does not deal damage.",3,1
Dance of Daggers,"Attacks declared with Daggers treat any interaction higher than Resist as Null. This weapon deals Physical damage if the target's Physical Affinity is lower than its Gun Affinity, and deals Gun damage if the target's Gun Affinity is lower than its Physical Affinity. If the interactions are the same, you may choose which Damage Type to deal. If your Dagger deals non-Physical damage, you can choose to ignore this Skill’s effect to deal that damage instead.",3,1
Reader’s Helper,"When you take damage outside of your turn, you can use your Interrupt action to declare a basic attack: This attack deals SKL2&*X damage, where X is equal to the combined price of all Grimoire pieces currently equipped, of the damage type indicated by your equipped Chapter. Once per combat, this does not spend your Interrupt action for that turn.)",4,1
